;projectdeel;peilbuis;filter_van_m;filter_tot_m;nummer;analysemonster;datum_bemonstering;gegevens;parameter;detectieconditie;waarde;eenheid;x_ml72;y_ml72
0;R1O1;PBC3;;14,9;182;PBC3;2022/02/04;RoTS/WiBo;PFHxS;=;5;ng/l;154735,9568;213286,1045
1;R1O1;P406;4,1;6,1;88;LD_406;2021/09/23;RoTS/WiBo;8:2 FTS;<;2;ng/l;154457,34;213702
2;KZ;StadAnt_280;3,4;4,4;248;StadAnt_280-1-1 StadAnt_280;2022/01/25;RoTS/Sweco;PFHxDA;<;1;ng/l;152803,81;214595,2
3;R1O1;P402a;9,1;10,1;77;LD_402a;2021/08/19;RoTS/WiBo;10:2 FTS;<;4;ng/l;154374,47;213884,06
4;STLO;PFAS-Diep-PB5;21;23;195;PFAS-Diep-PB5-1-2 PFAS-Diep-PB5;2021/12/08;RoTS/Sweco;PFHxDA;<;1;ng/l;149800,9086;214023,7081
5;R1N;R1N003B;5,5;6,5;219;R1N003B-1-1;2021/10/11;RoTS/Sweco;totaal PFAS;=;163;ng/l;154350,75;216494,2
6;R1O2;PFC3B-PB7;2,5;4,5;215;PFC3B-PB7-1-1;2022/07/22;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;155178,1418;213420,0521
7;STRO;PFAS-Diep-PB7;18;20;199;PFAS-DIEP-PB7-1-1;2021/10/19;RoTS/Sweco;MePFOSAA;<;1;ng/l;150789,3919;214624,6651
8;STLO;PFAS-Diep-PB3;17;18;191;PBSweco3d-1;2022/09/27;TM COTU;PFBA;=;2500;ng/l;149612,878;213745,3665
9;R1O1;PB6-SHS;10;15;171;PB6-SHS;31/02/2022;RoTS/WiBo;EtPFOSAA;=;1;ng/l;154254,1905;213849,3676
10;R1O1;P407;4,1;6,1;90;LD_407;2021/09/23;RoTS/WiBo;PFHpS;<;1;ng/l;154622,85;213522,79
11;R1O2;PFC3B-PB11003;15;17;204;PFC3B-PB11003-1-1 PFC3B-PB11003;2022/03/22;RoTS/Sweco;10:2 FTS;<;4;ng/l;155264,7005;213281,1068
12;R1O1;PBC1;;15;180;PBC1;2022/02/04;RoTS/WiBo;PFECHS;<;1;ng/l;154571,36;213239,6112
13;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;PFOSA;<;1;ng/l;151168,171;214556,146
14;R1N;PB05C;;;108;PB05C-1-1;2021/10/11;RoTS/Sweco;PFOA lineair;=;4;ng/l;153964,46;215707,51
15;R1O1;R1Z011B;7;8;236;R1Z011B;2021/11/17;RoTS/WiBo;EtPFOSA;<;4;ng/l;154244,68;213832,79
16;R1N;PB05A;;;106;PB05A-1-1;2021/10/11;RoTS/Sweco;EtPFOSAA;<;1;ng/l;153964,42;215707,57
17;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;PFUnDS;<;1;ng/l;155177,9764;213420,7135
18;R1N;PB1004;2;3;119;OBO-TS-PB1004;2021/11/30;RoTS/Sweco;PFPeA;=;24;ng/l;153865;214461
19;R1N;PB05C;;;108;PB05C-1-1;2021/10/11;RoTS/Sweco;PFNA;<;1;ng/l;153964,46;215707,51
20;R1O2;R1Z013B;7,5;8,5;239;R1Z013B-1-1;2021/10/11;RoTS/Sweco;PFOS lineair;=;12;ng/l;155836,9;212073,38
21;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;PFDoDS;<;1;ng/l;151168,171;214556,146
22;R1N;R1N003A;2,5;3,5;218;R1N003A-1-1;2021/10/11;RoTS/Sweco;PFDA;<;1;ng/l;154351,21;216493,89
23;STLO;PFAS-Diep-PB4;18;20;192;PFAS-DIEP-PB4-1-1;2021/10/19;RoTS/Sweco;6:2 FTS;<;1;ng/l;149716,7329;213884,3736
24;R1O1;PBC3;;14,9;182;PBC3;2022/02/04;RoTS/WiBo;PFODA;<;2;ng/l;154735,9568;213286,1045
25;R1N;PB2C;;;156;PB2C-1-1;2021/10/11;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;154047,4;216277,67
26;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;totaal PFAS;=;64;ng/l;155177,9764;213420,7135
27;R1N;PB222A;3,5;4,5;145;PB222A-1-1;2021/10/11;RoTS/Sweco;6:2 FTS;<;1;ng/l;154172,71;215098,1
28;OWK;PB1;4,2;6,2;112;PB1-2732;2021/09/07;aMT;6:2 diPAP;<;10;ng/l;152428,3681;214534,5674
29;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;PFTeDA;<;1;ng/l;155177,9764;213420,7135
30;R1O2;R1Z017B;6,5;7,5;245;R1Z017B-1-1;2021/10/11;RoTS/Sweco;PFDS;<;1;ng/l;155178,65;212863,38
31;R1O1;P401;4,1;6,1;75;LD_401;2021/08/19;RoTS/WiBo;6:2 FTS;<;25;ng/l;154978,68;213345,1
32;R1O1;PBA1;;7,1;176;PBA1;2022/02/04;RoTS/WiBo;totaal PFAS;=;84;ng/l;154416,9169;213361,4556
33;R1O1;PB3-SHS;10;15;163;PB3-SHS;31/02/2022;RoTS/WiBo;PFDoDA;<;1;ng/l;154575,1009;213251,9026
34;R1O1;PBB3;;4,5;179;PBB3;2022/02/04;RoTS/WiBo;PFHpS;=;2;ng/l;154765,3491;213266,3315
35;KZ;GEO-11/063-PB151;;;37;GEO-11/063-PB151-1-1 GEO-11/063-PB151;2022/01/25;RoTS/Sweco;PFOSA;<;1;ng/l;153284,87;214515,06
36;R1O2;R1Z006A;4,2;5,2;234;R1Z006A-1-1 R1Z006A;2022/01/20;RoTS/Sweco;PFHpS;<;1;ng/l;155822,1;212723,4
37;R1O2;R1Z002B;7;8;231;R1Z002B-1-1;2021/10/11;RoTS/Sweco;EtPFOSA;<;4;ng/l;155311,25;213246,08
38;R1O1;P502;4;6;95;LD_502;2021/11/16;RoTS/WiBo;PFPeA;=;32;ng/l;154694,42;213378,2031
39;R1O1;R1Z012B;7;8;238;R1Z012B-1-1 R1Z012B;2022/01/25;RoTS/Sweco;PFHxDA;<;1;ng/l;154121,95;213989,38
40;R1N;PB2B;;;154;PB2B-1-1;2021/10/11;RoTS/Sweco;4:2 FTS;<;1;ng/l;154047,4;216277,67
41;OWK;OWK003A;1,5;3,5;58;OWK003A-1-1 OWK003A;2021/12/02;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;151895,13;214754,05
42;R1O2;PFC3B-PB11003;15;17;204;PFC3B-PB11003-1-1 PFC3B-PB11003;2022/03/22;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;155264,7005;213281,1068
43;R1O1;P506;4;6;99;LD_506;2021/11/17;RoTS/WiBo;PFOSA;=;1;ng/l;155025,17;213410,71
44;R1O1;P401;4,1;6,1;75;LD_401;2021/08/19;RoTS/WiBo;PFTeDA;<;1;ng/l;154978,68;213345,1
45;R1O1;P406;4,1;6,1;88;LD_406;2021/09/23;RoTS/WiBo;PFHxS;=;2;ng/l;154457,34;213702
46;R1O1;P403;4,1;6,1;82;LD_403;2021/09/23;RoTS/WiBo;som PFOS;=;1;ng/l;154770,21;213612,57
47;R1O1;P402a;9,1;10,1;77;LD_402a;2021/08/19;RoTS/WiBo;PFBA;=;28;ng/l;154374,47;213884,06
48;KZ;KZ003B;8,5;9,5;40;KZ003B-1-1 KZ003B;2022/01/25;RoTS/Sweco;PFHpS;<;1;ng/l;153010,61;214522,41
49;R1O1;R1Z012A;2,5;3,5;237;R1Z012A-1-1 R1Z012A;2022/01/25;RoTS/Sweco;som PFAS kwantitatief;=;561;ng/l;154121,47;213989,44
50;OWK;PB236A;;;148;PB236A-1-1 PB236A;2021/12/02;RoTS/Sweco;EtPFOSA;<;4;ng/l;151168,171;214556,146
51;R1N;PB1006;2,1;3,1;121;OBO-TS-PB1006;2021/11/30;RoTS/Sweco;PFHxS;=;9;ng/l;153721;214562
52;R1O2;PFC3B-PB11003;15;17;204;PFC3B-PB11003-1-1 PFC3B-PB11003;2022/03/22;RoTS/Sweco;MePFOSA;<;4;ng/l;155264,7005;213281,1068
53;R1N;PB05B;;;107;PB5B-1-1;2021/10/11;RoTS/Sweco;6:2 FTS;<;2;ng/l;153964,28;215706,86
54;R1O1;P403;4,1;6,1;81;LD_403;2021/08/19;RoTS/WiBo;PFOS vertakt;=;1;ng/l;154770,21;213612,57
55;R1O2;R1Z002A;3,5;4,5;230;R1Z002A-1-1;2021/10/11;RoTS/Sweco;HPFO-DA;=;1;ng/l;155310,88;213246,48
56;R1O1;P406;4,1;6,1;87;LD_406;2021/08/19;RoTS/WiBo;PFPeS;<;1;ng/l;154457,34;213702
57;OWK;OWK019A;1;2;65;OWK019A-1-1 OWK019A;2021/12/02;RoTS/Sweco;6:2 FTS;=;1;ng/l;152207,547;214709,46
58;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;PFDS;<;1;ng/l;151168,171;214556,146
59;R1O1;P605;7;8;105;LD_605;2022/04/07;RoTS/WiBo;PFHxDA;<;2;ng/l;154867,85;213294,05
60;R1O1;P404;4,15;6,15;84;LD_404;2021/09/23;RoTS/WiBo;MePFOSAA;<;4;ng/l;154517,93;213854,71
61;STLO;P1001;2,5;3,5;71;P1001;2016/10/12;RoTS/WiBo;som PFOS;=;50;ng/l;149203;213247
62;KZ;KZ016B;8;9;41;KZ016B-1-1 KZ016B;2022/01/25;RoTS/Sweco;PFBS;=;16;ng/l;153773,16;214271,91
63;R1N;PB05D;;;109;PB05D-1-1;2021/10/11;RoTS/Sweco;PFDA;=;1;ng/l;153964,34;215706,87
64;KZ;GEO-11/063-PB151;;;37;GEO-11/063-PB151-1-1 GEO-11/063-PB151;2022/01/25;RoTS/Sweco;EtPFOSAA;<;1;ng/l;153284,87;214515,06
65;OWK;PB1;4;6,2;114;2022/03/02-PB1-01;2022/03/02;aMT;PFOA vertakt;=;5;ng/l;152428,3681;214534,5674
66;R1O2;R1Z013B;7,5;8,5;239;R1Z013B-1-1;2021/10/11;RoTS/Sweco;PFOS vertakt;=;4;ng/l;155836,9;212073,38
67;STLO;PFAS-Diep-PB4;18;20;193;PFAS-Diep-PB4-1-2 PFAS-Diep-PB4;2021/12/08;RoTS/Sweco;PFECHS;<;1;ng/l;149716,7329;213884,3736
68;STRO;PFAS-Diep-PB6;18,5;20,5;198;PFAS DIEP B6-1-1 PFAS diep B6;2021/12/02;RoTS/Sweco;som PFAS kwantitatief;=;68;ng/l;150524,9401;214597,2915
69;R1O2;R1Z013B;7,5;8,5;240;R1Z013B-1-2 R1Z013B;2022/03/28;RoTS/Sweco;som PFOS;=;12;ng/l;155836,9;212073,38
70;STLO;PB3;5,15;6,15;159;IAC21-04579.002 - PB3;2021/06/01;TM COTU;6:2 FTS;<;10;ng/l;149443,1;213936,41
71;R1N;R1N003A;2,5;3,5;218;R1N003A-1-1;2021/10/11;RoTS/Sweco;PFECHS;<;1;ng/l;154351,21;216493,89
72;STLO;PFAS-Diep-PB3;17;18;191;PBSweco3d-1;2022/09/27;TM COTU;PFPeA;=;500;ng/l;149612,878;213745,3665
73;R1O1;P402b;4,1;6,1;80;LD_402b;2021/09/23;RoTS/WiBo;6:2 FTS;<;25;ng/l;154374,47;213884,06
74;R1N;R1N009A;2;3;220;R1N009A-1-1;2021/10/11;RoTS/Sweco;PFHpA;=;3;ng/l;154115,39;215627,03
75;STLO;PFAS-Diep-PB5;21;23;195;PFAS-Diep-PB5-1-2 PFAS-Diep-PB5;2021/12/08;RoTS/Sweco;HPFO-DA;<;1;ng/l;149800,9086;214023,7081
76;R1O1;R1Z012B;7;8;238;R1Z012B-1-1 R1Z012B;2022/01/25;RoTS/Sweco;HPFO-DA;<;1;ng/l;154121,95;213989,38
77;R1O2;R1Z002A;3,5;4,5;230;R1Z002A-1-1;2021/10/11;RoTS/Sweco;totaal PFAS;=;348;ng/l;155310,88;213246,48
78;STRO;PFAS-Diep-PB6;18,5;20,5;198;PFAS DIEP B6-1-1 PFAS diep B6;2021/12/02;RoTS/Sweco;PFNA;<;1;ng/l;150524,9401;214597,2915
79;KZ;StadAnt_280;3,4;4,4;248;StadAnt_280-1-1 StadAnt_280;2022/01/25;RoTS/Sweco;som PFOA;=;13;ng/l;152803,81;214595,2
80;STLO;P1101;14;15;74;P1101;2016/10/13;RoTS/WiBo;PFUnDA;<;0,5;ng/l;149297;213431
81;R1N;R1N009B;6;7;221;R1N009B-1-1;2021/10/11;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;154116,06;215627,04
82;STLO;PFAS-Diep-PB5;22;23;196;PBSweco5d-1;2022/09/27;TM COTU;PFUnDS;<;5;ng/l;149800,9086;214023,7081
83;R1N;R1N003B;5,5;6,5;219;R1N003B-1-1;2021/10/11;RoTS/Sweco;HPFO-DA;<;1;ng/l;154350,75;216494,2
84;R1O2;R1Z002A;3,5;4,5;230;R1Z002A-1-1;2021/10/11;RoTS/Sweco;PFPeA;=;39;ng/l;155310,88;213246,48
85;R1O1;P403;4,1;6,1;82;LD_403;2021/09/23;RoTS/WiBo;PFOS lineair;=;1;ng/l;154770,21;213612,57
86;R1N;R1N015B;7;8;223;R1N015B-1-1;2021/10/11;RoTS/Sweco;MePFOSA;<;2;ng/l;153811,85;214568,69
87;R1O1;P601;4;6;102;LD_601;2022/04/07;RoTS/WiBo;PFDA;<;1;ng/l;154684,5;213367,97
88;R1O1;P501;4;6;94;LD_501;2021/11/16;RoTS/WiBo;PFPeA;=;20;ng/l;154937,74;213189,88
89;R1O1;PB5-SHS;10;15;168;PB5-SHS;31/02/2022;RoTS/WiBo;8:2 FTS;=;1;ng/l;154386,1886;213587,2418
90;R1O1;PFC3B-PB11004;15;17;205;PFC3B-PB11004-1-1 PFC3B-PB11004;2022/03/10;RoTS/Sweco;PFHpA;=;2;ng/l;154930,246;213400,2709
91;R1N;R1N015B;7;8;223;R1N015B-1-1;2021/10/11;RoTS/Sweco;PFDoDS;<;1;ng/l;153811,85;214568,69
92;R1O1;R1Z015B;7;8;241;R1Z015B;2021/11/17;RoTS/WiBo;PFHpA;=;25;ng/l;154791,54;213349,44
93;R1O2;PFC3B-PB11003;15;17;204;PFC3B-PB11003-1-1 PFC3B-PB11003;2022/03/22;RoTS/Sweco;totaal PFAS;=;59;ng/l;155264,7005;213281,1068
94;STLO;PFAS-Diep-PB2;14;15;188;PBSweco2d-1;2022/09/27;TM COTU;6:2 FTS;<;1;ng/l;149518,0528;213609,5801
95;STLO;PFAS-Diep-PB1;10;12;185;PFAS-Diep-PB1-1-2 PFAS-Diep-PB1;2021/12/08;RoTS/Sweco;PFUnDA;<;1;ng/l;149428,728;213484,8401
96;R1O1;P403;4,1;6,1;81;LD_403;2021/08/19;RoTS/WiBo;som PFAS indicatief;=;0;ng/l;154770,21;213612,57
97;R1O2;R1Z002B;7;8;231;R1Z002B-1-1;2021/10/11;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;155311,25;213246,08
98;R1N;R1N009B;6;7;221;R1N009B-1-1;2021/10/11;RoTS/Sweco;EtPFOSA;<;4;ng/l;154116,06;215627,04
99;R1O1;P501;4;6;94;LD_501;2021/11/16;RoTS/WiBo;MePFOSA;<;2;ng/l;154937,74;213189,88
100;R1O1;P502;4;6;95;LD_502;2021/11/16;RoTS/WiBo;PFHxS;=;16;ng/l;154694,42;213378,2031
101;KZ;KZ003A;3,5;4,5;39;KZ003A-1-1 KZ003A;2022/01/25;RoTS/Sweco;PFDS;<;1;ng/l;153010,86;214522,41
102;R1N;PB1003;2;3;118;OBO-TS-PB1003;2021/11/30;RoTS/Sweco;PFNA;=;2;ng/l;153841;214519
103;R1N;PB2C;;;156;PB2C-1-1;2021/10/11;RoTS/Sweco;HPFO-DA;<;1;ng/l;154047,4;216277,67
104;KZ;KZ016B;8;9;41;KZ016B-1-1 KZ016B;2022/01/25;RoTS/Sweco;MePFOSA;<;2;ng/l;153773,16;214271,91
105;R1N;PB05D;;;109;PB05D-1-1;2021/10/11;RoTS/Sweco;PFDS;<;1;ng/l;153964,34;215706,87
106;R1N;PB05D;;;109;PB05D-1-1;2021/10/11;RoTS/Sweco;EtPFOSAA;<;1;ng/l;153964,34;215706,87
107;R1O1;P605;7;8;105;LD_605;2022/04/07;RoTS/WiBo;PFODA;<;2;ng/l;154867,85;213294,05
108;R1N;PB2D;;;157;PB2D-1-1;2021/10/11;RoTS/Sweco;PFPeA;=;6;ng/l;154047,4;216277,67
109;R1O1;PBB3;;4,5;179;PBB3;2022/02/04;RoTS/WiBo;4:2 FTS;<;1;ng/l;154765,3491;213266,3315
110;STLO;PFAS-Diep-PB5;21;23;195;PFAS-Diep-PB5-1-2 PFAS-Diep-PB5;2021/12/08;RoTS/Sweco;ADONA;<;1;ng/l;149800,9086;214023,7081
111;STLO;PFAS-Diep-PB2;14;16;186;PFAS-DIEP-PB2-1-1;2021/10/19;RoTS/Sweco;PFPeA;<;1;ng/l;149518,0528;213609,5801
112;KZ;StadAnt_280;3,4;4,4;248;StadAnt_280-1-1 StadAnt_280;2022/01/25;RoTS/Sweco;4:2 FTS;<;1;ng/l;152803,81;214595,2
113;R1N;PB2D;;;157;PB2D-1-1;2021/10/11;RoTS/Sweco;PFHxDA;<;1;ng/l;154047,4;216277,67
114;OWK;PB236B;;;149;PB236B-1-1 PB236B;2021/12/02;RoTS/Sweco;EtPFOSA;<;4;ng/l;151168,171;214556,146
115;R1O1;R1Z015B;7;8;241;R1Z015B;2021/11/17;RoTS/WiBo;8:2 FTS;<;2;ng/l;154791,54;213349,44
116;R1O1;P501;4;6;94;LD_501;2021/11/16;RoTS/WiBo;PFUnDA;<;1;ng/l;154937,74;213189,88
117;R1O1;P408;4,1;6,1;92;LD_408;2021/09/23;RoTS/WiBo;10:2 FTS;<;4;ng/l;154847,13;213315,62
118;R1O1;P503;4;6;96;LD_503;2021/11/16;RoTS/WiBo;PFHxA;=;40;ng/l;154458,53;213623,51
119;R1O1;P401;4,1;6,1;76;LD_401;2021/09/23;RoTS/WiBo;PFTrDA;<;1;ng/l;154978,68;213345,1
120;R1O1;PFC3B-PB11005;15;17;207;PFC3B-PB11005-1-1 PFC3B-PB11005;2022/03/10;RoTS/Sweco;MePFOSAA;<;1;ng/l;154396,3168;213901,6564
121;R1O1;R1Z015B;7;8;241;R1Z015B;2021/11/17;RoTS/WiBo;PFHxA;=;57;ng/l;154791,54;213349,44
122;R1O2;R1Z005B;7,5;8,5;233;R1Z005B-1-1;2021/10/11;RoTS/Sweco;PFHxA;=;4;ng/l;155674,09;212796,6
123;STLO;PB39;3;4;162;IAC21-04579.004 - PB39;2021/06/01;TM COTU;PFHpA;<;10;ng/l;149432,94;213858,08
124;STLO;PFAS-Diep-PB5;21;23;195;PFAS-Diep-PB5-1-2 PFAS-Diep-PB5;2021/12/08;RoTS/Sweco;MePFOSAA;<;1;ng/l;149800,9086;214023,7081
125;R1O1;PBB2;;3,1;178;PBB2;2022/02/04;RoTS/WiBo;PFDA;<;1;ng/l;154644,5735;213347,5611
126;KZ;PFC3B-PB11007;15,5;17,5;209;PFC3B-PB11007-1-1 PFC3B-PB11007;2022/03/10;RoTS/Sweco;MePFBSA;<;10;ng/l;153554,088;214375,2097
127;R1N;R1N015B;7;8;223;R1N015B-1-1;2021/10/11;RoTS/Sweco;PFPeA;=;7;ng/l;153811,85;214568,69
128;R1O1;P601;4;6;102;LD_601;2022/04/07;RoTS/WiBo;PFOA lineair;=;4800;ng/l;154684,5;213367,97
129;STLO;P1004;4,5;5,5;73;P1004;2016/10/13;RoTS/WiBo;som PFOA;=;140;ng/l;149467;213849
130;R1O2;PFC3B-PB8;6;8;216;PFC3B-PB8-1-1;2022/07/22;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;155177,9764;213420,7135
131;R1O2;R1Z007B;3,2;4,2;235;R1Z007B-1-1 R1Z007B;2022/01/20;RoTS/Sweco;PFHxDA;<;1;ng/l;155920,68;212552,55
132;R1N;PB222A;3,5;4,5;145;PB222A-1-1;2021/10/11;RoTS/Sweco;8:2 FTS;<;1;ng/l;154172,71;215098,1
133;R1O2;PFC3B-PB11002;13;15;203;PFC3B-PB11002-1-1 PFC3B-PB11002;2022/03/10;RoTS/Sweco;PFBSA;<;2;ng/l;155499,6076;212896,4504
134;R1O1;P405;4,1;6,1;86;LD_405;2021/09/23;RoTS/WiBo;PFDS;<;1;ng/l;154991,03;213268,3
135;R1O2;R1Z017A;2,5;3,5;244;R1Z017A-1-1;2021/10/11;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;155178,18;212863,76
136;KZ;PFC3B-PB11007;15,5;17,5;209;PFC3B-PB11007-1-1 PFC3B-PB11007;2022/03/10;RoTS/Sweco;PFHxDA;<;1;ng/l;153554,088;214375,2097
137;R1O2;PFC3B-PB3;6;8;211;PFC3B-PB3-1-1 PFC3B-PB3;2022/03/22;RoTS/Sweco;8:2 FTS;<;1;ng/l;155262,7123;213280,736
138;R1N;PB05D;;;109;PB05D-1-1;2021/10/11;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;153964,34;215706,87
139;R1N;PB222B;11,5;12,5;146;PB222B-1-1;2021/10/11;RoTS/Sweco;6:2 diPAP;<;10;ng/l;154172,71;215098,1
140;R1O1;PB2-SHS;10;15;158;PB2-SHS;31/02/2022;RoTS/WiBo;MePFOSA;<;2;ng/l;154412,3745;213417,5682
141;R1O2;PFC3B-PB5;3,3;4,3;213;PFC3B-PB5-1-1 PFC3B-PB5;2022/02/24;RoTS/Sweco;PFDoDS;<;1;ng/l;155281,66;213350,2682
142;R1O1;R1Z015B;7;8;241;R1Z015B;2021/11/17;RoTS/WiBo;PFDS;<;1;ng/l;154791,54;213349,44
143;R1O1;P602;4;6;103;LD_602;2022/04/07;RoTS/WiBo;PFHpA;=;94;ng/l;154646,94;213410,91
144;KZ;GEO-11/063-PB151;;;37;GEO-11/063-PB151-1-1 GEO-11/063-PB151;2022/01/25;RoTS/Sweco;4:2 FTS;<;1;ng/l;153284,87;214515,06
145;R1O2;R1Z007B;3,2;4,2;235;R1Z007B-1-1 R1Z007B;2022/01/20;RoTS/Sweco;6:2 FTS;<;2;ng/l;155920,68;212552,55
146;R1O1;P503;4;6;96;LD_503;2021/11/16;RoTS/WiBo;EtPFOSA;<;4;ng/l;154458,53;213623,51
147;R1O1;P602;4;6;103;LD_602;2022/04/07;RoTS/WiBo;HPFO-DA;<;2;ng/l;154646,94;213410,91
148;R1O1;PBC1;;15;180;PBC1;2022/02/04;RoTS/WiBo;PFOS lineair;=;2;ng/l;154571,36;213239,6112
149;R1O2;R1Z006A;4,2;5,2;234;R1Z006A-1-1 R1Z006A;2022/01/20;RoTS/Sweco;PFDoDA;<;1;ng/l;155822,1;212723,4
150;STLO;PFAS-Diep-PB4;18;20;192;PFAS-DIEP-PB4-1-1;2021/10/19;RoTS/Sweco;PFECHS;<;1;ng/l;149716,7329;213884,3736
151;R1O1;P602;4;6;103;LD_602;2022/04/07;RoTS/WiBo;MePFOSAA;<;1;ng/l;154646,94;213410,91
152;OWK;OWK019A;1;2;65;OWK019A-1-1 OWK019A;2021/12/02;RoTS/Sweco;EtPFOSA;<;4;ng/l;152207,547;214709,46
153;R1O2;PFC3B-PB1;4;5;201;PFC3B-PB1-1-1 PFC3B-PB1;2022/02/24;RoTS/Sweco;EtPFOSAA;<;1;ng/l;155045,8863;213127,4099
154;STLO;PFAS-Diep-PB4;18;20;193;PFAS-Diep-PB4-1-2 PFAS-Diep-PB4;2021/12/08;RoTS/Sweco;PFPeA;=;3;ng/l;149716,7329;213884,3736
155;R1O1;P401;4,1;6,1;76;LD_401;2021/09/23;RoTS/WiBo;PFBS;=;19;ng/l;154978,68;213345,1
156;R1O2;R1Z002A;3,5;4,5;230;R1Z002A-1-1;2021/10/11;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;155310,88;213246,48
157;R1O1;PB1-SHS;10;15;139;PB1-SHS;31/02/2022;RoTS/WiBo;PFHxS;<;1;ng/l;154573,6313;213488,5105
158;R1N;PB222A;3,5;4,5;145;PB222A-1-1;2021/10/11;RoTS/Sweco;som PFAS kwantitatief;=;3555;ng/l;154172,71;215098,1
159;R1O2;PFC3B-PB11001;17,5;19,5;202;PFC3B-PB11001-1-1 PFC3B-PB11001;2022/03/10;RoTS/Sweco;PFUnDA;<;1;ng/l;155689,4461;212605,078
160;R1O1;PBB2;;3,1;178;PBB2;2022/02/04;RoTS/WiBo;PFNA;<;1;ng/l;154644,5735;213347,5611
161;R1O1;P403;4,1;6,1;81;LD_403;2021/08/19;RoTS/WiBo;PFNA;<;1;ng/l;154770,21;213612,57
162;OWK;PB1;4,2;6,2;111;P1-2852;2021/09/27;aMT;som PFOA;=;12;ng/l;152428,3681;214534,5674
163;R1N;PB05C;;;108;PB05C-1-1;2021/10/11;RoTS/Sweco;PFOS vertakt;=;4;ng/l;153964,46;215707,51
164;R1O2;R1Z005B;7,5;8,5;233;R1Z005B-1-1;2021/10/11;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;155674,09;212796,6
165;R1O1;PFC3B-PB11004;15;17;205;PFC3B-PB11004-1-1 PFC3B-PB11004;2022/03/10;RoTS/Sweco;6:2 diPAP;<;10;ng/l;154930,246;213400,2709
166;R1O1;PBC3;;14,9;182;PBC3;2022/02/04;RoTS/WiBo;PFOS vertakt;=;20;ng/l;154735,9568;213286,1045
167;OWK;PB1;4,2;6,2;112;PB1-2732;2021/09/07;aMT;MePFOSAA;<;4;ng/l;152428,3681;214534,5674
168;R1O1;P404;4,15;6,15;83;LD_404;2021/08/19;RoTS/WiBo;PFOSA;<;1;ng/l;154517,93;213854,71
169;STLO;PFAS-Diep-PB1;10;12;185;PFAS-Diep-PB1-1-2 PFAS-Diep-PB1;2021/12/08;RoTS/Sweco;PFBA;<;5;ng/l;149428,728;213484,8401
170;R1O1;P405;4,1;6,1;86;LD_405;2021/09/23;RoTS/WiBo;som PFAS indicatief;=;0;ng/l;154991,03;213268,3
171;R1O2;PFC3B-PB11003;15;17;204;PFC3B-PB11003-1-1 PFC3B-PB11003;2022/03/22;RoTS/Sweco;PFBS;=;3;ng/l;155264,7005;213281,1068
172;STLO;PFAS-Diep-PB2;14;16;186;PFAS-DIEP-PB2-1-1;2021/10/19;RoTS/Sweco;PFOS vertakt;=;1;ng/l;149518,0528;213609,5801
173;R1O1;PFC3B-PB11006;16;18;208;PFC3B-PB11006-1-1 PFC3B-PB11006;2022/03/10;RoTS/Sweco;MePFBSA;<;10;ng/l;153997,3251;214244,5564
174;R1O2;R1Z017B;6,5;7,5;245;R1Z017B-1-1;2021/10/11;RoTS/Sweco;PFHxS;=;1;ng/l;155178,65;212863,38
175;R1N;R1N009B;6;7;221;R1N009B-1-1;2021/10/11;RoTS/Sweco;som PFOS;=;58;ng/l;154116,06;215627,04
176;R1N;PB2B;;;154;PB2B-1-1;2021/10/11;RoTS/Sweco;EtPFOSA;<;4;ng/l;154047,4;216277,67
177;R1O2;PFC3B-PB4;2,5;4,5;212;PFC3B-PB4-1-1 PFC3B-PB4;2022/03/22;RoTS/Sweco;PFOA lineair;=;45;ng/l;155261,5217;213280,4714
178;R1O1;P403;4,1;6,1;81;LD_403;2021/08/19;RoTS/WiBo;8:2 FTS;<;2;ng/l;154770,21;213612,57
179;KZ;KZ016B;8;9;41;KZ016B-1-1 KZ016B;2022/01/25;RoTS/Sweco;PFODA;<;2;ng/l;153773,16;214271,91
180;R1O1;P403;4,1;6,1;81;LD_403;2021/08/19;RoTS/WiBo;PFDoDA;<;1;ng/l;154770,21;213612,57
