;projectdeel;peilbuis;filter_van_m;filter_tot_m;nummer;analysemonster;datum_bemonstering;gegevens;parameter;detectieconditie;waarde;eenheid;x_ml72;y_ml72
2448;R1O2;PFC3B-PB7;2,5;4,5;215;PFC3B-PB7-1-1;2022/07/22;RoTS/Sweco;MePFBSA;<;10;ng/l;155178,1418;213420,0521
2449;R1O2;PFC3B-PB3;6;8;211;PFC3B-PB3-1-1 PFC3B-PB3;2022/03/22;RoTS/Sweco;PFOS vertakt;=;2;ng/l;155262,7123;213280,736
2450;OWK;PB1;4;6,2;114;2022/03/02-PB1-01;2022/03/02;aMT;PFUnDS;<;1;ng/l;152428,3681;214534,5674
2451;R1O1;PBC2;;15,3;181;PBC2;2022/02/04;RoTS/WiBo;MePFOSAA;<;3;ng/l;154572,4288;213467,2679
2452;R1O1;P503;4;6;96;LD_503;2021/11/16;RoTS/WiBo;10:2 FTS;<;4;ng/l;154458,53;213623,51
2453;R1O2;PFC3B-PB11002;13;15;203;PFC3B-PB11002-1-1 PFC3B-PB11002;2022/03/10;RoTS/Sweco;6:2/8:2 diPAP;<;10;ng/l;155499,6076;212896,4504
2454;R1O1;PB1-SHS;10;15;139;PB1-SHS;31/02/2022;RoTS/WiBo;PFECHS;<;1;ng/l;154573,6313;213488,5105
2455;OWK;PB1;4,2;6,2;111;P1-2852;2021/09/27;aMT;PFOA lineair;=;8;ng/l;152428,3681;214534,5674
2456;STLO;PB39;3;4;162;IAC21-04579.004 - PB39;2021/06/01;TM COTU;PFODA;<;10;ng/l;149432,94;213858,08
2457;R1O2;PFC3B-PB11001;17,5;19,5;202;PFC3B-PB11001-1-1 PFC3B-PB11001;2022/03/10;RoTS/Sweco;PFOSA;=;3;ng/l;155689,4461;212605,078
2458;KZ;KZ003A;3,5;4,5;39;KZ003A-1-1 KZ003A;2022/01/25;RoTS/Sweco;HPFO-DA;<;2;ng/l;153010,86;214522,41
2459;R1O1;PFC3B-PB11004;15;17;206;PFC3B-PB11004-1;2022/07/22;RoTS/Sweco;PFDS;<;1;ng/l;154930,246;213400,2709
2460;R1O1;P405;4,1;6,1;86;LD_405;2021/09/23;RoTS/WiBo;10:2 FTS;<;4;ng/l;154991,03;213268,3
2461;STLO;PB39;3;4;162;IAC21-04579.004 - PB39;2021/06/01;TM COTU;PFUnDA;<;10;ng/l;149432,94;213858,08
2462;OWK;PB3;4;6;160;PB3-2734;2021/09/07;aMT;som PFAS kwantitatief;=;416;ng/l;152173,9682;214551,9792
2463;STLO;PFAS-Diep-PB5;21;23;195;PFAS-Diep-PB5-1-2 PFAS-Diep-PB5;2021/12/08;RoTS/Sweco;PFDoDA;<;1;ng/l;149800,9086;214023,7081
2464;KZ;StadAnt_280;3,4;4,4;248;StadAnt_280-1-1 StadAnt_280;2022/01/25;RoTS/Sweco;PFHpS;=;1;ng/l;152803,81;214595,2
2465;R1N;PB05C;;;108;PB05C-1-1;2021/10/11;RoTS/Sweco;som PFAS indicatief;=;0;ng/l;153964,46;215707,51
2466;R1O1;P602;4;6;103;LD_602;2022/04/07;RoTS/WiBo;EtPFOSAA;<;1;ng/l;154646,94;213410,91
2467;R1O1;P405;4,1;6,1;86;LD_405;2021/09/23;RoTS/WiBo;PFUnDA;<;1;ng/l;154991,03;213268,3
2468;R1O1;P402a;9,1;10,1;77;LD_402a;2021/08/19;RoTS/WiBo;som PFOA;=;90;ng/l;154374,47;213884,06
2469;STLO;PFAS-Diep-PB2;14;15;188;PBSweco2d-1;2022/09/27;TM COTU;PFDA;<;1;ng/l;149518,0528;213609,5801
2470;R1N;PB222B;11,5;12,5;146;PB222B-1-1;2021/10/11;RoTS/Sweco;PFHxA;=;12;ng/l;154172,71;215098,1
