,Unnamed: 0,id,date,x_m_L72,y_m_L72,top_m_mv,basis_m_mv,parameter,detection_condition,value,unit,source,error_sum_parameter,error_detection_condition,error_unrealistic_unit,error_top,error_basis
1280,60355,33389814,2022-03-22,69105.49,167252.49,2.0,3.0,PFAS Som indicatief,=,28.0,ng/l,OVAM,Sum parameter,,,,
1281,60360,33389821,2022-03-22,69105.49,167252.49,2.0,3.0,EU DWRL-20,=,9000.0,ng/l,OVAM,Sum parameter,,,,
1282,60364,33389829,2022-03-22,69105.49,167252.49,2.0,3.0,PFAS Som kwantitatief,=,9100.0,ng/l,OVAM,Sum parameter,,,,
1283,60372,33389849,2022-03-22,69105.49,167252.49,2.0,3.0,EFSA-4,=,3500.0,ng/l,OVAM,Sum parameter,,,,
1284,60403,33390088,2022-03-22,69052.77,167426.83,3.5,4.5,PFAS Som indicatief,<,15.0,ng/l,OVAM,Sum parameter,,,,
1285,60404,33390090,2022-03-22,69052.77,167426.83,3.5,4.5,PFAS Som kwantitatief,=,440.0,ng/l,OVAM,Sum parameter,,,,
1286,60413,33390110,2022-03-22,69052.77,167426.83,3.5,4.5,EFSA-4,=,220.0,ng/l,OVAM,Sum parameter,,,,
1287,60419,33390117,2022-03-22,69052.77,167426.83,3.5,4.5,EU DWRL-20,=,440.0,ng/l,OVAM,Sum parameter,,,,
1288,60446,33390213,2022-03-22,68960.0,167243.0,1.1,4.2,PFAS Som kwantitatief,=,410.0,ng/l,OVAM,Sum parameter,,,,
1289,60448,33390217,2022-03-22,68960.0,167243.0,1.1,4.2,EU DWRL-20,=,410.0,ng/l,OVAM,Sum parameter,,,,
1290,60453,33390225,2022-03-22,68960.0,167243.0,1.1,4.2,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1291,60469,33390256,2022-03-22,68960.0,167243.0,1.1,4.2,EFSA-4,=,210.0,ng/l,OVAM,Sum parameter,,,,
1292,60501,33390392,2022-03-22,68943.0,167179.0,1.6,4.6,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1293,60503,33390397,2022-03-22,68943.0,167179.0,1.6,4.6,EFSA-4,=,37.0,ng/l,OVAM,Sum parameter,,,,
1294,60511,33390418,2022-03-22,68943.0,167179.0,1.6,4.6,EU DWRL-20,=,110.0,ng/l,OVAM,Sum parameter,,,,
1295,60518,33390429,2022-03-22,68943.0,167179.0,1.6,4.6,PFAS Som kwantitatief,=,120.0,ng/l,OVAM,Sum parameter,,,,
1296,60564,33390524,2022-03-22,69025.0,167320.0,0.1,3.0,PFAS Som indicatief,<,10.0,ng/l,OVAM,Sum parameter,,,,
1297,60570,33390530,2022-03-22,69025.0,167320.0,0.1,3.0,EU DWRL-20,=,190.0,ng/l,OVAM,Sum parameter,,,,
1298,60574,33390539,2022-03-22,69025.0,167320.0,0.1,3.0,EFSA-4,=,77.0,ng/l,OVAM,Sum parameter,,,,
1299,60580,33390547,2022-03-22,69025.0,167320.0,0.1,3.0,PFAS Som kwantitatief,=,190.0,ng/l,OVAM,Sum parameter,,,,
1300,60589,33390719,2022-03-22,69015.74,167396.74,3.5,4.5,PFAS Som kwantitatief,=,830.0,ng/l,OVAM,Sum parameter,,,,
